StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q11,Q12,Q14,Q13,Q14,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,Create New Field or Choose From Dropdown...,Set a Value Now,mTurkCode
2021-12-17 09:53:45,2021-12-17 10:12:46,IP Address,67.176.76.48,100,1141,True,2021-12-17 10:12:47,R_wXo5h4zyIOunTI5,,,,,40.4102020263671875,-104.75839996337890625,anonymous,EN,"I consent, begin the study",Paul,Purple,A32JEH06T23HDF,Four,100,Female,,White or European,,28,Vocational/Technical School (2 year),,50,15448,,,1381480
2021-12-17 09:54:17,2021-12-17 10:15:56,IP Address,68.179.240.85,100,1298,True,2021-12-17 10:15:56,R_1NaX7lwyLQg8EEN,,,,,35.60650634765625,-92.274200439453125,anonymous,EN,"I consent, begin the study",Paul,Purple,A30HUZHJBOX1LK,Four,100,Male,,White or European,,54,Masters Degree (MS),,31,63160,,,193285
2021-12-17 09:56:59,2021-12-17 10:16:05,IP Address,47.212.81.186,100,1146,True,2021-12-17 10:16:06,R_3HvKLaeMuzBJ90I,,,,,35.776702880859375,-90.76940155029296875,anonymous,EN,"I consent, begin the study",Paul,Purple,AB09F0Q4T10TE,Four,100,Male,,White or European,,39,Vocational/Technical School (2 year),,60,24616,,,3392862
2021-12-17 09:57:49,2021-12-17 10:16:47,IP Address,76.168.193.216,100,1138,True,2021-12-17 10:16:48,R_2cu2fidrYbXNCq3,,,,,34.0525970458984375,-118.2122039794921875,anonymous,EN,"I consent, begin the study",Paul,Purple,AQMLJYUQCSG22,Four,100,Male,,Hispanic or Latino,,32,College Graduate (4 year),,80,84151,,,7288541
2021-12-17 09:54:24,2021-12-17 10:19:08,IP Address,75.41.166.226,100,1484,True,2021-12-17 10:19:08,R_2s6Fl2DiHtGXFcK,,,,,35.2803955078125,-98.9474029541015625,anonymous,EN,"I consent, begin the study",Paul,Purple,A3CGQOJC28OVGN,Four,100,Female,,White or European,,31,College Graduate (4 year),,75,58568,,,8202803
2021-12-17 10:08:43,2021-12-17 10:20:50,IP Address,198.71.99.128,100,726,True,2021-12-17 10:20:50,R_0omRa9Khr9GmLHX,,,,,33.4795989990234375,-88.3527984619140625,anonymous,EN,"I consent, begin the study",Paul,Purple,A3A8P4UR9A0DWQ,Four,50,Female,,White or European,,45,College Graduate (4 year),,80,74361,,,7606375
2021-12-17 10:03:11,2021-12-17 10:22:07,IP Address,216.106.30.98,100,1135,True,2021-12-17 10:22:07,R_22AeybU5qCZTsJ5,,,,,38.577301025390625,-92.24430084228515625,anonymous,EN,"I consent, begin the study",Paul,Purple,A2DVV59R1CQU6T,Four,100,Male,,White or European,,31,College Graduate (4 year),,92,91584,,,861780
2021-12-17 09:58:53,2021-12-17 10:23:11,IP Address,71.38.65.152,100,1458,True,2021-12-17 10:23:11,R_3jeAAEg2S1uSEkL,,,,,36.1681976318359375,-115.2165985107421875,anonymous,EN,"I consent, begin the study",Paul,Purple,A209V2VHLLQ59W,Four,100,Other (please specify),Genderqueer,Mixed,,33,College Graduate (4 year),,100,63024,,,7267117
2021-12-17 09:58:24,2021-12-17 10:23:40,IP Address,100.15.29.197,100,1515,True,2021-12-17 10:23:40,R_2rIvR8GbAWozQsN,,,,,38.6273040771484375,-76.98590087890625,anonymous,EN,"I consent, begin the study",Paul,Purple,A353XKDTUX10NC,Four,100,Male,,Black or African American,,27,High School or Equivalent,,100,12774,,,2006836
2021-12-17 09:54:15,2021-12-17 10:24:38,IP Address,73.161.247.123,100,1823,True,2021-12-17 10:24:39,R_3jTA5e8VXOrkU7O,,,,,42.645599365234375,-83.35630035400390625,anonymous,EN,"I consent, begin the study",Paul,Purple,AZNIEFUIVB2H0,Four,100,Male,,White or European,,54,College Graduate (4 year),,83,45031,,,8933657
2021-12-17 10:11:52,2021-12-17 10:42:57,IP Address,73.116.109.20,100,1864,True,2021-12-17 10:42:57,R_2qn2AdKKNOWDkR4,,,,,39.806793212890625,-121.86700439453125,anonymous,EN,"I consent, begin the study",Paul,Purple,AD1WGUMVD6KED,Four,100,Female,,White or European,,39,High School or Equivalent,,71,85811,,,7212425
2021-12-17 14:56:33,2021-12-17 15:15:37,IP Address,71.117.30.30,100,1143,True,2021-12-17 15:15:38,R_AdQ2h66snf8fAgp,,,,,39.082794189453125,-77.16739654541015625,anonymous,EN,"I consent, begin the study",Paul,Purple,A13WTEQ06V3B6D,Four,100,Male,,Asian,,29,Masters Degree (MS),,80,80635,,,7735725
2021-12-17 14:51:23,2021-12-17 15:17:24,IP Address,99.2.65.40,100,1560,True,2021-12-17 15:17:24,R_qE3OALqVnoyZWRX,,,,,30.2754974365234375,-81.5814971923828125,anonymous,EN,"I consent, begin the study",Paul,Purple,A5WWHKD82I8UE,Four,100,Male,,White or European,,38,College Graduate (4 year),,80,55724,,,7097281
2021-12-17 15:14:35,2021-12-17 15:19:42,IP Address,107.211.48.243,100,306,True,2021-12-17 15:19:42,R_XUr8gWg0jXsM92N,,,,,34.1824951171875,-84.82469940185546875,anonymous,EN,"I consent, begin the study",Paul,Purple,A2TZAXWOB3JMNV,None,10,Female,,White or European,,48,College Graduate (4 year),,34,13441,,,1448491
2021-12-17 14:46:35,2021-12-17 15:23:50,IP Address,67.163.230.27,100,2234,True,2021-12-17 15:23:50,R_2qDHjWFmxdYWtwg,,,,,40.193695068359375,-79.924102783203125,anonymous,EN,"I consent, begin the study",Paul,Purple,A23BWWRR7J5XLS,Four,100,Male,,White or European,,43,Some College,,74,77877,,,7129482
2021-12-17 14:54:25,2021-12-17 15:28:11,IP Address,65.26.51.124,100,2026,True,2021-12-17 15:28:11,R_3qs745vc5BdEAEO,,,,,39.3643951416015625,-94.3634033203125,anonymous,EN,"I consent, begin the study",Paul,Purple,A1YHIQHLLLQIIQ,Four,100,Female,,White or European,,34,College Graduate (4 year),,72,23417,,,5863720
2021-12-17 14:41:44,2021-12-17 15:28:50,IP Address,24.91.180.31,100,2826,True,2021-12-17 15:28:51,R_bEIdWf1wfJbctzj,,,,,42.069000244140625,-72.67600250244140625,anonymous,EN,"I consent, begin the study",Paul,Purple,A24LUXW1DB1QI5,Four,100,Female,,White or European,,42,Masters Degree (MS),,50,69400,,,1094176
2021-12-17 14:42:23,2021-12-17 15:30:11,IP Address,76.105.14.4,100,2868,True,2021-12-17 15:30:11,R_2ScvAusRgu4Krix,,,,,38.6840972900390625,-121.067596435546875,anonymous,EN,"I consent, begin the study",Paul,Purple,A2615YW1YERQBO,Four,100,Male,,White or European,,56,Vocational/Technical School (2 year),,61,58466,,,3073512
2021-12-17 15:01:46,2021-12-17 15:35:32,IP Address,98.10.58.230,100,2026,True,2021-12-17 15:35:32,R_3KOyEmY05gOLvW1,,,,,43.144195556640625,-77.55030059814453125,anonymous,EN,"I consent, begin the study",Paul,Purple,A2I4PRZ9IZMKON,Four,100,Female,,White or European,,31,Masters Degree (MS),,98,86117,,,5866842
2021-12-17 15:43:56,2021-12-17 16:12:54,IP Address,184.53.16.93,100,1738,True,2021-12-17 16:12:55,R_1eKIDKHJaaHfmvr,,,,,47.6033935546875,-122.341400146484375,anonymous,EN,"I consent, begin the study",Paul,Purple,A14EYTLSMJRPUK,Four,100,Male,,White or European,,36,Vocational/Technical School (2 year),,63,98075,,,7748691
2021-12-17 15:50:47,2021-12-17 16:18:49,IP Address,68.237.51.94,100,1681,True,2021-12-17 16:18:49,R_1jP3FwGVrBlCHFD,,,,,40.7512969970703125,-73.82440185546875,anonymous,EN,"I consent, begin the study",Paul,Purple,A3RMV9ZGFJ0HHF,Four,100,Female,,Asian,,39,College Graduate (4 year),,75,49439,,,5576850
2021-12-17 16:11:36,2021-12-17 16:43:43,IP Address,66.91.75.29,100,1927,True,2021-12-17 16:43:43,R_2eR1jwYQ53WclzU,,,,,21.4535064697265625,-158.0193023681640625,anonymous,EN,"I consent, begin the study",Paul,Purple,A1R8A8BK2VN7RH,Four,100,Female,,Asian,,36,College Graduate (4 year),,15,18384,,,1271898
2021-12-17 17:01:36,2021-12-17 17:37:23,IP Address,174.100.231.122,100,2146,True,2021-12-17 17:37:24,R_1r6BgYmfPC6sSib,,,,,39.90460205078125,-82.97029876708984375,anonymous,EN,"I consent, begin the study",Paul,Purple,A2A07J1P6YEW6Z,Four,100,Male,,White or European,,41,Masters Degree (MS),,35,24817,,,884747
2021-12-17 17:29:41,2021-12-17 17:44:31,IP Address,173.79.50.5,100,889,True,2021-12-17 17:44:31,R_1IiMRtdPplKRJnd,,,,,38.84759521484375,-77.32810211181640625,anonymous,EN,"I consent, begin the study",Paul,Purple,A1P9ZZAW0TMNTR,Four,100,Male,,Asian,,30,Some College,,50,55841,,,7815502
2021-12-17 17:29:27,2021-12-17 17:55:45,IP Address,64.53.196.221,100,1578,True,2021-12-17 17:55:46,R_3QRC1bFEfxxIhwS,,,,,42.0128021240234375,-88.09670257568359375,anonymous,EN,"I consent, begin the study",Paul,Purple,AD3V6XGQWRD6E,Four,100,Female,,White or European,,52,Some College,,100,19094,,,2649687
2021-12-17 17:19:13,2021-12-17 18:03:18,IP Address,24.88.15.124,100,2644,True,2021-12-17 18:03:18,R_3suHn2OltQS77y3,,,,,36.3401947021484375,-79.662200927734375,anonymous,EN,"I consent, begin the study",Paul,Purple,A3GVUYY3TWRPZT,Four,100,Female,,White or European,,42,College Graduate (4 year),,50,77027,,,701764
2021-12-17 18:31:38,2021-12-17 19:10:46,IP Address,70.171.9.199,100,2348,True,2021-12-17 19:10:47,R_sp9IV4tGfYGFdUl,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,"I consent, begin the study",Paul,Purple,AZ69TBTDH7AZS,Four,100,Male,,Mixed,,28,College Graduate (4 year),,100,22397,,,5948157
2021-12-17 19:31:24,2021-12-17 20:10:57,IP Address,71.227.107.82,100,2372,True,2021-12-17 20:10:57,R_UaLMCNjAogMypcR,,,,,42.8704071044921875,-85.6681976318359375,anonymous,EN,"I consent, begin the study",Paul,Purple,ANQ0RLFEZ17W0,Four,100,Female,,White or European,,30,College Graduate (4 year),,95,75026,,,7877532
2021-12-17 21:12:51,2021-12-17 21:43:31,IP Address,70.124.33.42,100,1840,True,2021-12-17 21:43:31,R_1G1AFQNmPoDg0w1,,,,,26.2823028564453125,-98.18250274658203125,anonymous,EN,"I consent, begin the study",Paul,Purple,A3L2XKXABNO0N5,Four,100,Female,,Hispanic or Latino,,37,College Graduate (4 year),,61,50112,,,5020354
2021-12-15 11:48:46,2021-12-15 11:49:35,IP Address,64.28.55.95,33,49,False,2021-12-22 11:49:36,R_bmydY1pn9m7vbAl,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2T5CROJ0FWIJY,,,,,,,,,,,57806,,,
2021-12-15 11:48:50,2021-12-15 11:54:34,IP Address,73.66.94.22,42,343,False,2021-12-22 11:54:41,R_12mCw8AHaj5A5Mm,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A8028AFBBS29G,,,,,,,,,,,47738,,,
2021-12-15 12:04:34,2021-12-15 12:05:31,IP Address,72.197.143.19,33,56,False,2021-12-22 12:05:31,R_1LnHpDWBX9Y0xxE,,,,,,,anonymous,EN,"I consent, begin the study",John,Purple,A2FHJCRBRP7VH4,,,,,,,,,,,54169,,,
2021-12-15 12:00:57,2021-12-15 12:06:57,IP Address,99.13.217.125,33,359,False,2021-12-22 12:06:58,R_2uxhUFYLQpSEpvr,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A10HW8JXM17XLD,,,,,,,,,,,16505,,,
2021-12-15 12:08:18,2021-12-15 12:12:02,IP Address,74.192.141.5,33,224,False,2021-12-22 12:12:05,R_3dKRRXM5swQkUSY,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A3D2GO0IFRFN6R,,,,,,,,,,,41110,,,
2021-12-15 12:10:58,2021-12-15 12:12:07,IP Address,72.197.143.19,42,68,False,2021-12-22 12:12:08,R_2uvYnuXy5fPM7f6,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2FHJCRBRP7VH4,,,,,,,,,,,78771,,,
2021-12-15 12:07:07,2021-12-15 12:17:47,IP Address,73.214.75.221,33,639,False,2021-12-22 12:17:51,R_2tnI3HVJAdytNEm,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A3HOBJ4PJUOCUN,,,,,,,,,,,33512,,,
2021-12-15 11:51:35,2021-12-15 12:18:39,IP Address,212.162.151.87,33,1623,False,2021-12-22 12:18:43,R_12SvRFYlLj3CTgn,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A10M63DSIGIEDI,,,,,,,,,,,69268,,,
2021-12-15 12:20:42,2021-12-15 12:24:03,IP Address,184.152.78.166,33,201,False,2021-12-22 12:24:04,R_2tfDDTzzMwDYKlU,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A598UDLZZZAJ3,,,,,,,,,,,61341,,,
2021-12-15 12:22:06,2021-12-15 12:36:08,IP Address,68.179.240.85,33,841,False,2021-12-22 12:36:09,R_ROKG1H35EWquBVv,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A3RKG5PZN97RD5,,,,,,,,,,,31241,,,
2021-12-15 12:30:00,2021-12-15 12:44:41,IP Address,163.123.220.33,58,880,False,2021-12-22 12:44:42,R_3k5rvvd2VksDvSJ,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A1S9I3WF8GG4RG,Four,10,,,,,,,,,74627,,,
2021-12-17 09:58:38,2021-12-17 10:01:02,IP Address,24.167.174.235,33,143,False,2021-12-24 10:01:05,R_1ePQnqrcxdiH6mx,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A19WXS1CLVLEEX,,,,,,,,,,,97462,,,
2021-12-17 10:03:22,2021-12-17 10:33:14,IP Address,96.61.76.100,33,1791,False,2021-12-24 10:33:19,R_OvU5DLZGApMdD9L,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A1PJLZSOUQ4MIL,,,,,,,,,,,15205,,,
2021-12-17 09:53:48,2021-12-17 10:41:03,IP Address,67.162.200.58,58,2834,False,2021-12-24 10:41:07,R_2albHHlwfJ75Uyu,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A16G6PPH1INQL8,Four,100,,,,,,,,,50524,,,
2021-12-17 14:39:34,2021-12-17 14:52:57,IP Address,104.244.145.154,33,803,False,2021-12-24 14:53:00,R_1DCqfJN5IbeeMT9,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2Z6NL0CTXY0ZB,,,,,,,,,,,30208,,,
2021-12-17 14:39:34,2021-12-17 14:57:25,IP Address,66.30.168.144,33,1071,False,2021-12-24 14:57:26,R_2Pn7xBcZAf3X00d,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A1M682B2WUSYJP,,,,,,,,,,,94657,,,
2021-12-17 14:45:07,2021-12-17 14:58:29,IP Address,73.66.94.22,33,801,False,2021-12-24 14:58:33,R_1OrSX66hLTM1g7v,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A3RQN5RZD1N2KP,,,,,,,,,,,64855,,,
2021-12-17 14:44:39,2021-12-17 15:01:31,IP Address,47.200.110.243,33,1011,False,2021-12-24 15:01:36,R_3HSNmL5kXXOGBQt,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2QTL039A5VV3I,,,,,,,,,,,73019,,,
2021-12-17 14:40:02,2021-12-17 15:30:06,IP Address,156.218.89.41,33,3003,False,2021-12-24 15:30:07,R_2cvaflYAJpqZNu4,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2VNWJU49OOVFC,,,,,,,,,,,18329,,,
2021-12-17 16:13:36,2021-12-17 16:18:49,IP Address,65.215.24.94,33,313,False,2021-12-24 16:18:53,R_3fqxTzJIxxAUKl3,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A1O4YE320W36HP,,,,,,,,,,,39631,,,
2021-12-17 16:18:22,2021-12-17 16:21:24,IP Address,67.247.238.117,33,182,False,2021-12-24 16:21:25,R_2P1gv1Z0chuxPPD,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A394JO4NEPCY3M,,,,,,,,,,,30808,,,
2021-12-17 16:57:17,2021-12-17 16:58:24,IP Address,174.84.103.96,33,67,False,2021-12-24 16:58:27,R_3fjJ0S3yrariEXV,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A3MYPYBVHX7FQ2,,,,,,,,,,,89640,,,
2021-12-17 17:12:58,2021-12-17 17:17:52,IP Address,73.151.227.254,33,294,False,2021-12-24 17:18:01,R_11jwMR0Y1MoxynP,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A82Q1HS5CPZ5I,,,,,,,,,,,85226,,,
2021-12-17 17:18:33,2021-12-17 17:22:26,IP Address,76.91.125.247,33,232,False,2021-12-24 17:22:28,R_3nrvO1EcU1uXPRo,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A19L8SNH73AX1Z,,,,,,,,,,,43040,,,
2021-12-17 14:59:35,2021-12-17 18:37:59,IP Address,24.155.48.156,33,13103,False,2021-12-24 18:38:03,R_1jSOXa37ct9qsHV,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2Y0WNHMT4PZ4C,,,,,,,,,,,83986,,,
2021-12-17 19:22:52,2021-12-17 19:24:01,IP Address,47.203.92.56,33,68,False,2021-12-24 19:24:02,R_1jPmJFle36FNJ33,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A107RJSS561Y7R,,,,,,,,,,,14651,,,
2021-12-17 19:47:55,2021-12-17 19:49:11,IP Address,172.124.131.44,33,76,False,2021-12-24 19:49:15,R_1f1VB7toAGQNMaE,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A26PGX6EBPZ8G9,,,,,,,,,,,60079,,,
2021-12-17 18:12:30,2021-12-20 12:09:26,IP Address,65.28.104.41,42,237415,False,2021-12-27 12:09:30,R_2V9p7epqF1aBdw6,,,,,,,anonymous,EN,"I consent, begin the study",Paul,Purple,A2PUL3ZDXOW0VZ,,,,,,,,,,,89215,,,
